key,name,iataCode,website,type,foundationMoment,emailAddress,phoneNumber
airline-01,"Lorem ipsum dolor sit ame",LOR,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-02,"L",AAA,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-03,"Lo",AAB,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",AAC,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",AAD,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-06,"โลเร็ม อิปซัม",AAE,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-07,"لوريم إيبسوم",AAF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-08,"洛伦·伊普森",AAG,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-09,"<marquee>Hacked</marquee>",AAH,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-10,"<script>alert(‘Hacked!’);</script>",AAI,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-11,"' or 'A' = 'A ",AAJ,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
#
# name probado
#
airline-12,"Lorem ipsum dolor sit ame",AAK,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
#
# iataCode probado
#
airline-13,"Lorem ipsum dolor sit ame",AAL,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-14,"Lorem ipsum dolor sit ame",AAM,ftp://a,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-15,"Lorem ipsum dolor sit ame",AAN,ftp://a.b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-16,"Lorem ipsum dolor sit ame",AAO,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-17,"Lorem ipsum dolor sit ame",AAP,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-18,"Lorem ipsum dolor sit ame",AAQ,https://www.lorem-ipsum.org,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-19,"Lorem ipsum dolor sit ame",AAR,ftp://www.lorem-ipsum.org,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-20,"Lorem ipsum dolor sit ame",AAS,http://www.lorem-ipsum.org/dolor/sit.html,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-21,"Lorem ipsum dolor sit ame",AAT,http://www.lorem-ipsum.org/dolor/sit.html#dolor,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-22,"Lorem ipsum dolor sit ame",AAU,http://example.org?a=1&b=2,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-23,"Lorem ipsum dolor sit ame",AAV,http://example.org?,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-24,"Lorem ipsum dolor sit ame",AAW,http://example.org?a,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-25,"Lorem ipsum dolor sit ame",AAX,http://example.org?a&b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-26,"Lorem ipsum dolor sit ame",AAY,http://example.org/,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-27,"Lorem ipsum dolor sit ame",AAZ,http://example.org/a,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
airline-28,"Lorem ipsum dolor sit ame",ABA,http://example.org/a/b,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+15551234567
