key,registrationMoment,typeOfIncident,description,severityLevel,key:leg,key:reporter
#base entity
incident-01,2011/04/16 0:00,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
# registrationMoment - standard variations
incident-02,2000/01/01 0:00,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-03,2000/01/01 0:01,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-04,2022/07/29 23:59,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-05,2022/07/30 0:00,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
# registrationMoment - no singular values
# typeOfIncident - standard variations
incident-06,2011/04/16 0:00,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-07,2011/04/16 0:00,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-08,2011/04/16 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-09,2011/04/16 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-10,2011/04/16 0:00,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-11,2011/04/16 0:00,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-12,2011/04/16 0:00,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-13,2011/04/16 0:00,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-14,2011/04/16 0:00,<script>alert(�Hacked!�);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
incident-15,2011/04/16 0:00,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5,leg-01,flight-crew-member-01
# typeOfIncident - no singular values
# description - standard variations
incident-16,2011/04/16 0:00,"Lorem ipsum dolor sit amet",L,5,leg-01,flight-crew-member-01
incident-17,2011/04/16 0:00,"Lorem ipsum dolor sit amet",Lo,5,leg-01,flight-crew-member-01
incident-18,2011/04/16 0:00,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5,leg-01,flight-crew-member-01
incident-19,2011/04/16 0:00,"Lorem ipsum dolor sit amet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5,leg-01,flight-crew-member-01
incident-20,2011/04/16 0:00,"Lorem ipsum dolor sit amet",โลเร็ม อิปซัม,5,leg-01,flight-crew-member-01
incident-21,2011/04/16 0:00,"Lorem ipsum dolor sit amet",لوريم إيبسوم,5,leg-01,flight-crew-member-01
incident-22,2011/04/16 0:00,"Lorem ipsum dolor sit amet",洛伦·伊普森,5,leg-01,flight-crew-member-01
incident-23,2011/04/16 0:00,"Lorem ipsum dolor sit amet",<marquee>Hacked</marquee>,5,leg-01,flight-crew-member-01
incident-24,2011/04/16 0:00,"Lorem ipsum dolor sit amet",<script>alert(�Hacked!�);</script>,5,leg-01,flight-crew-member-01
incident-25,2011/04/16 0:00,"Lorem ipsum dolor sit amet",' or 'A' = 'A,5,leg-01,flight-crew-member-01
# description - no singular values
# severityLevel - standard variations
